,,,,,
,,NXXXXX,19-Apr-2026,,
,,<NAME> <Aircraft Type>,,,
,,Annual Condition Inspection / Pre-Buy Examination Checklist,,,
,,,,,
N657CZ,Type,AIRCRAFT INFO,,,
,,Aircraft Serial #,,,
,,Inspection Location,,,
,,Inspection Performed By,Marc J. Zeitlin A&P #3052594,,
,,Airframe Hours (TTAF),,,
,,Engine Hours (SMOH),,,
,,Propeller Hours,,,
,,,,,
,,CONSUMABLES,DESCRIPTION,,
,,,,,
,,Oil,"Aeroshell 15W-50, Phillips XC 20W-50, Aeroshell W100+ or equivalent",,
,,Oil Filter,CH48108-1 or equivalent,,
,,Oil Test Sample Kit,"Aviation Oil Analysis, Blackstone Oil Analysis or equivalent",,
,,Wheel Bearing Grease,Any good synthetic wheel bearing grease (Mobil - 1),,
,,Nose Tire / Tube,2.50/2.80 x 4 or 10-3.50 x 4,,
,,Main Tires / Tubes,11-4.00 x 5 or 5.00 x 5,,
,,Brake Pads,"Rapco, Cleveland, Matco, Grove",,
MIL-H-5606A,,"Brake Fluid (MIL-H-5606-H, MIL-H-83282, MIL-PRF-87257, or DOT-3, DOT-4, DOT-5)",MUST BE SAME AS ALREADY INSTALLED - MIL FLUIDS (all compatible) ARE NOT COMPATIBLE W/DOT-X ; DOT-X NOT INTERCHANGEABLE,,
,,Air Filter / Recharge Kit,,,
,,Spark Plugs - Upper,,,
,,Spark Plugs - Lower,,,
,,Solvent (FI restrictors),Hoppes #9 Cleaner / Stoddard Solvent,,
,,,,,
,,LIFE LIMITED,PROCEDURE / ACTION,DUE,
,,,,,
,,Aircraft Cleanliness,"Clean aircraft per 14 CFR Part 43 Appendix D(a) - exterior, interior, engine compartment, brakes, wheels, axles, etc.",,
,,Seatbelts,10 Year Lifetime,,
,,Main Battery,4 - 6 Year Lifetime,,
,,ELT Batteries,Per 91.207(c) - Check batt. date,,
,,ELT Remote Switch Battery,Per 91.207(c) - Check batt. date,,
,,406 MHz ELT Re-registration ,Check registration date,,
,,FAR 91.413 Transponder /Encoder Check,2 Years,,
,,FAR 91.411 Static Check,2 Years,,
,,Magneto (Right/Left),500 hr. Inspection / Rebuild - due XXXX hrs,,
,,EI Spark Plug Ignition Wires - Top/Bottom,LSI - 500 hr. / 10 Year Lifetime; Emagair - 180 Ohms/ft.; - Replace if necessary - due XXX hrs. or <XX/XX>,,
NA,,Slick Mag SB1-15A,Check if applicable,,
NA,,Vacuum Pump,500 hr. Replacement/Rebuild - due XXXX hrs,,
,,Nose Wheel Bearing Grease,300 hr. or at tire replacement - due XXXX hrs,,
,,Main Wheel Bearing Grease,300 hr. or at tire replacement - due XXXX hrs,,
,,Fuel Hoses,1000 hr. / 8 Year Lifetime (Rubber) - Replace if necessary - due XXX hrs or <XX/XX>,,
,,Oil Hoses,1000 hr. / 8 Year Lifetime (Rubber) - Replace if necessary - due XXX hrs or <XX/XX>,,
MIL-H-5606A,,"Brake Fluid (MIL-H-5606-H, MIL-H-83282, MIL-PRF-87257, or DOT-3, DOT-4, DOT-5)",5 Year Lifetime - Flush / Replace,,
,,Alternator Belt,5 Year Lifetime,,
,,Engine Driven Fuel Pump,At TBO / 10 Year Lifetime - due <XX/XX>,,
na,,MSA Carburetor,At TBO / 10 Year Lifetime - due <XX/XX>,,
,,Lycoming SB 388C / SI1485A (1998 prior),Every 400 / 1000 hours - due XXXX hrs,,
,,Electric Fuel Pump Filter,500 hr. / 2 Year Lifetime - due XXX hrs. or <XX/XX>,,
,,O2 Tank Recertification,5 Year Lifetime,,
,,,,,
,,ITEM,PROCEDURE / ACTION,RESULT,
,,,,,
,,Documents / Placards,Examine Documents / Placards,,
,,Paperwork Envelope,"Check condition, visibility per 91.203(b)",,
,,"Review AC, Registration, Op. Limits",Check all in order,,
,,Review W&B / Equipment List,Check and update if necessary,,
,,Review Airframe / Engine / Prop Logbooks,Check condition and compliance with  FAR 91.417,,
,,Review AD List,Comply if deemed necessary,,
,,Review SB / Plans Changes List,Comply if deemed necessary,,
,,Dataplate,Check condition and compliance with  FAR 45.13,,
,,"""Experimental"" Placard",Check condition and compliance with  FAR 45.23(b),,
,,Instrument / Switch Labeling,Check condition,,
,,Passenger Warning,Check condition and compliance with OL's,,
,,Registration Markings,"Check ""N"" numbers for compliance with FAR 45.21",,
,,,,,
,,ITEM,PROCEDURE / ACTION,RESULT,
,,,,,
,,Canard Area,Remove Front / Rear Nose Doors (canard if necessary),L,R
,,Static Ports,Check clear all three holes each side,,
,,Elevator Torque Tube Attach Bolt,Check for rust/corrosion/torque – lubricate if necessary,,
,,Elevator Inner Hinge,Check for corrosion – lubricate if necessary,,
,,Elevator Middle Hinge #1,Check for corrosion – lubricate if necessary,,
,GU,Elevator Middle Hinge #2,Check for corrosion – lubricate if necessary,,
,,Elevator Outer Hinge,Check for corrosion – lubricate if necessary,,
,COZY III,Elevator Center Hinge,Check for corrosion – lubricate if necessary,,
"yes, all roncz",Roncz,Elevator Hinge Pin Set Screw,Check for rust / corrosion / torque – lubricate if necessary,,
,,Elevator(s) Top Surface,Check for delamination / paint condition,,
,,Elevator(s) Bottom Surface,Check for delamination / paint condition,,
,,Elevator(s) Weight & Balance,Check for appropriate weight and balance,,
,Velocity,Sparrow Strainer Trim Tab,Check condition,,
,Velocity,Elevator Deflection - Velocity,Check for 24 - 26 deg up / 28 deg down @ TE,,
,Roncz,Elevator(s) Deflection - Roncz,Check for 26 - 30 deg TE down / 12.5 - 15.5 deg TE up,,
,GU,Elevator(s) Deflection - GU,Check for 20 - 24 deg TE down / 18 - 22 TE up,,
,Varieze,Elevator Span - Varieze,"Check Span - Short GU: 140""",,
,Varieze,Elevator Span - Varieze,"Check Span - Standard GU: 148""",,
,Long-EZ,Elevator Span - Long-EZ,"Check Span - GU: 140""",,
,Long-EZ,Elevator Span - Long-EZ,"Check Span - Roncz: 130""",,
,COZY III,Elevator Span - COZY III,"Check Span - GU: 148""",,
,COZY III,Elevator Span - COZY III,"Check Span - Roncz: 142""",,
,COZY MKIV,Elevator Span - COZY MKIV,"Check Span - Original: 147""; Revised: 141""",,
,,Elevator Clearance to Fuselage,"Check for 0.060"" - 0.10"" clearance",,
,,Elevator Clearance to Canard Tip,"Check for 0.060"" - 0.10"" clearance",,
,,,,,
,,Elevator Torque Tube,Check condition,,
,Roncz,Elevator Torque Tube Offset,Check condition / welds,,
,,Elevator Inner Counterweight,Check condition,,
,,Elevator Outer Counterweight,"Check condition; check for 0.060"" - 0.10"" clearance",,
,Velocity,Elevator Trim Attach Point,Check condition / welds,,
,Velocity,Elevator Trim Actuator,Check condition / wiring,,
,Velocity,Elevator Trim Davenport Spring,Check condition / welds,,
,Velocity,Auto Pilot Pitch Actuator,Check condition / wiring,,
,Velocity,A/P Control Box,Check condition / wiring,,
,,Elevator Trim Belcrank,Check condition / welds,,
"just ""spring""",,Elevator Trim Davenport Spring,Check condition,,
,Tandem,Elevator Down Hard Stop,Check,,
,,,,,
,,Canard Top Surface,Check for delamination / paint condition,,
,,Canard Vortex Generators,Check condition,,
,,Canard Bottom Surface,Check for delamination / paint condition,,
,Varieze,Canard Span - Varieze,"Check Span - GU: Short - 142""",,
,Varieze,Canard Span - Varieze,"Check Span - GU: Standard - 150""",,
,Long-EZ,Canard Span - Long-EZ,"Check Span - GU: 142""",,
,Long-EZ,Canard Span - Long-EZ,"Check Span - Roncz: 134"" / 140"" (LE/TE)",,
,COZY III,Canard Span - COZY III,"Check Span - GU: 150""",,
,COZY III,Canard Span - COZY III,"Check Span - Roncz: 146""",,
,COZY MKIV,Canard Span - COZY MKIV,"Check Span Original: 151"" @LE; Revised: 145"" @LE",,
,,Canard Torque Tube Weather Seal,Check condition,,
,,NACA air inlet,Check condition,,
,,Canard Cover,Check for delamination / paint condition; check fasteners,,
,Velocity,Oil Cooler NACA Air Inlet,Check condition,,
,,,,,
,,Canard Lift Tabs / F22 Bushing,Check condition,,
,,Lift Tab Bolt,Check condition,,
,,Alignment Pins / Socket,Check condition,,
,Velocity,Canard Forward Upper Attach Points,Check condition,,
,Velocity,Canard Aft Attach Points,Check condition,,
,Velocity,Canard Fwd / Aft Attach Bolt,Check condition,,
,Velocity,Canard Lift Tabs,Check condition,,
,Velocity,Canard Lift Tab Bolts/Washers,Check condition,,
,,Marker Beacon Antenna Cable,Check condition,,
,,VOR Antenna Cable,Check condition,,
,,,,,
,,ITEM,PROCEDURE / ACTION,RESULT,
,,,,,
,,Nose Area,"Remove Front / Rear Nose Doors, Canard Cover",,
,,Front Nose Door,Check condition / ¼ turn fasteners / screws,,
,,Landing / Taxi Light Lenses,Check condition – clean / polish,,
,,Landing / Taxi Lights,Check operation / condition / alignment / bolt torque,,
,,Ballast Weights and mounting,Check condition,,
,,Pitot Tube,Check condition,,
,,Nose Bumper,Check condition,,
,,,,,
,,Rear Nose Door,Check condition / ¼ turn fasteners / screws,,
,,Parking Brake Valve / Actuator,Check condition / fittings,,
,Velocity,Heater SCAT hose,Check condition,,
,Velocity,Oil Cooler,Check condition / hard lines,,
,Velocity,Oil Cooler Door,Check condition / operation,,
,,Battery Charge Port,Check condition / wire connections,,
,,Piper Battery Jumper Connector,Check condition,,
,,Jumper Solenoid and Switch,Check condition / operation,,
,,Master Solenoid,Check condition,,
,,Starter Solenoid,Check condition,,
,,Voltage Regulator,"Check condition - test OV (B&C, pin 6 to pin 2)",,
na,,VPX Sport / Pro,Check condition / wiring,,
